證券代碼,年月日,流通在外股數(百萬股),董監持股數
2642 宅配通,9/20/2019,95,"49,459"
2643 捷迅,9/20/2019,26,"11,232"
2701 萬企,9/20/2019,449,"89,812"
2702 華園,9/20/2019,110,"21,529"
2704 國賓,9/20/2019,366,"73,958"
2705 六福,9/20/2019,339,"48,692"
2706 第一店,9/20/2019,499,"99,040"
2707 晶華,9/20/2019,127,"14,264"
2712 遠雄來,9/20/2019,105,"54,539"
2718 晶悅,9/20/2019,42,"10,958"
2719 燦星旅,9/20/2019,36,"19,174"
2722 夏都,9/20/2019,111,"61,639"
2723 美食-KY,9/20/2019,180,"82,323"
2724 富驛-KY,9/20/2019,68,"42,364"
2726 雅茗-KY,9/20/2019,34,"11,553"
2727 王品,9/20/2019,76,"7,497"
2729 瓦城,9/20/2019,23,"10,738"
2731 雄獅,9/20/2019,70,"15,064"
2732 六角,9/20/2019,40,"12,301"
2734 易飛網,9/20/2019,30,"12,854"
2736 高野,9/20/2019,48,"13,612"
2739 寒舍,9/20/2019,111,"45,756"
2740 天蔥,9/20/2019,17,"2,351"
2745 五福,9/20/2019,29,"10,311"
2748 雲品,9/20/2019,65,"45,505"
2801 彰銀,9/20/2019,"9,985","3,841,836"
2809 京城銀,9/20/2019,"1,141","39,399"
2812 台中銀,9/20/2019,"3,708","299,638"
2816 旺旺保,9/20/2019,212,"44,467"
2820 華票,9/20/2019,"1,342","458,776"
2823 中壽,9/20/2019,"4,463","1,168,592"
2832 台產,9/20/2019,362,"88,767"
2834 臺企銀,9/20/2019,"7,131","1,480,859"
2836 高雄銀,9/20/2019,"1,080","581,754"
2838 聯邦銀,9/20/2019,"2,884","427,874"
2841 台開,9/20/2019,760,"33,486"
2845 遠東銀,9/20/2019,"3,355","255,310"
2849 安泰銀,9/20/2019,"1,818","381,551"
2850 新產,9/20/2019,315,"22,681"
2851 中再保,9/20/2019,590,"327,815"
2852 第一保,9/20/2019,301,"55,726"
2855 統一證,9/20/2019,"1,372","104,497"
2867 三商壽,9/20/2019,"2,371","984,650"
2880 華南金,9/20/2019,"12,172","3,074,334"
2881 富邦金,9/20/2019,"10,233","2,206,255"
2882 國泰金,9/20/2019,"12,563","194,804"
2883 開發金,9/20/2019,"14,966","217,484"
2884 玉山金,9/20/2019,"11,619","287,644"
2885 元大金,9/20/2019,"11,686","540,398"
2886 兆豐金,9/20/2019,"13,599","2,799,704"
2887 台新金,9/20/2019,"10,656","431,338"
2888 新光金,9/20/2019,"12,600","1,052,620"
2889 國票金,9/20/2019,"2,819","190,792"
2890 永豐金,9/20/2019,"11,271","640,160"
2891 中信金,9/20/2019,"19,496","196,441"
2892 第一金,9/20/2019,"12,461","2,367,505"
2897 王道銀行,9/20/2019,"2,413","607,801"
2901 欣欣,9/20/2019,73,"35,620"
2903 遠百,9/20/2019,"1,416","325,445"
2904 匯僑,9/20/2019,69,"29,392"
2905 三商,9/20/2019,826,"290,793"
2906 高林,9/20/2019,209,"62,872"
2908 特力,9/20/2019,509,"67,366"
2910 統領,9/20/2019,208,"40,766"
2911 麗嬰房,9/20/2019,196,"33,918"
2912 統一超,9/20/2019,"1,039","477,173"
2913 農林,9/20/2019,790,"190,888"
2915 潤泰全,9/20/2019,564,"57,460"
2916 滿心,9/20/2019,54,"21,076"
2923 鼎固-KY,9/20/2019,"1,740","1,018,016"
2924 東凌-KY,9/20/2019,32,"11,569"
2926 誠品生活,9/20/2019,47,"25,110"
2928 紅馬-KY,9/20/2019,47,"2,793"
2929 淘帝-KY,9/20/2019,82,0
2936 客思達-KY,9/20/2019,76,"26,352"
2937 集雅社,9/20/2019,32,"11,532"
2939 凱羿-KY,9/20/2019,47,"23,389"
3002 歐格,9/20/2019,102,"28,275"
3003 健和興,9/20/2019,155,"16,538"
3004 豐達科,9/20/2019,52,"24,777"
3005 神基,9/20/2019,580,"203,421"
3006 晶豪科,9/20/2019,285,"15,390"
3008 大立光,9/20/2019,134,"27,812"
3010 華立,9/20/2019,231,"26,148"
3011 今皓,9/20/2019,112,"15,040"
3013 晟銘電,9/20/2019,162,"36,958"
3014 聯陽,9/20/2019,161,"16,845"
3015 全漢,9/20/2019,192,"42,973"
3016 嘉晶,9/20/2019,274,"181,542"
3017 奇鋐,9/20/2019,353,"70,817"
3018 同開,9/20/2019,73,"6,187"
3019 亞光,9/20/2019,281,"20,379"
3021 鴻名,9/20/2019,95,"26,354"
3022 威強電,9/20/2019,177,"43,842"
3023 信邦,9/20/2019,232,"20,687"
3024 憶聲,9/20/2019,277,"48,564"
3025 星通,9/20/2019,70,"10,101"
3026 禾伸堂,9/20/2019,157,"16,927"
3027 盛達,9/20/2019,98,"17,475"
3028 增你強,9/20/2019,213,"25,663"
3029 零壹,9/20/2019,124,"15,364"
3030 德律,9/20/2019,236,"44,599"
3031 佰鴻,9/20/2019,186,"89,523"
3032 偉訓,9/20/2019,113,"32,018"
3033 威健,9/20/2019,367,"44,104"
3034 聯詠,9/20/2019,608,"27,990"
3035 智原,9/20/2019,248,"34,752"
3036 文曄,9/20/2019,590,"42,367"
3037 欣興,9/20/2019,"1,504","221,459"
3038 全台,9/20/2019,162,"31,314"
3040 遠見,9/20/2019,63,"14,044"
3041 揚智,9/20/2019,302,"1,424"
3042 晶技,9/20/2019,309,"20,410"
3043 科風,9/20/2019,194,"3,351"
3044 健鼎,9/20/2019,525,"26,609"
3045 台灣大,9/20/2019,"3,494","206,246"
3046 建碁,9/20/2019,71,"28,985"
3047 訊舟,9/20/2019,186,"12,250"
3048 益登,9/20/2019,222,"45,149"
